TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Washington Wizards,82,42,40,3961,103.9,103.2,0.7,61.7,1.64,17.5,33.9,67.3,50.1,15.1,47.6,51.3,92.98,50.7,"7,669"
Vancouver Grizzlies,82,19,63,3966,102.4,110.2,-7.8,65.2,1.4,17.9,34,65.2,49.6,18.2,48.2,52.7,93.6,45.2,"7,735"
Utah Jazz,82,62,20,3956,110.9,103.8,7.2,69.2,1.64,19.4,35.2,68.4,52.9,16.9,51,56.9,90.55,57.1,"7,464"
Toronto Raptors,82,16,66,3986,99.4,108.9,-9.5,58.9,1.27,16,33.9,60.2,46.6,17.5,46.2,50.4,94.36,43.1,"7,829"
Seattle SuperSonics,82,61,21,3951,110.1,102.3,7.9,65.1,1.73,18.7,32.1,63.5,48.1,15.3,52.1,55.8,90.96,54.4,"7,487"
San Antonio Spurs,82,56,26,3966,102.4,98,4.4,63.5,1.4,17.7,32.6,69.6,52.4,17.8,49.3,53.1,89.65,55.1,"7,407"
Sacramento Kings,82,27,55,3946,99.1,105,-5.9,62.1,1.44,17,32.8,64.3,48.3,16.5,46.4,50.2,93.78,45.8,"7,709"
Portland Trail Blazers,82,46,36,3966,102.4,100.8,1.6,61.2,1.28,16.6,35.5,68.5,52.5,18.3,47.6,52.4,91.46,51.2,"7,555"
Phoenix Suns,82,56,26,3991,106.3,100.6,5.6,67.7,1.72,19.3,32.1,66.4,49.7,16.1,50,54,92.47,54.7,"7,685"
Philadelphia 76ers,82,31,51,3951,101.1,103.3,-2.3,60.9,1.28,16.3,34.1,66,49.9,17.9,46.2,51.4,92.11,47.8,"7,570"
Orlando Magic,82,41,41,3966,101,102.2,-1.2,61.1,1.35,16.3,37,64.6,50.5,17.2,45.2,49.9,88.51,48.9,"7,315"
New York Knicks,82,43,39,3966,101.5,98.8,2.7,62.4,1.43,17.3,31.9,70.3,51.2,16.9,47.6,52.1,89.53,51.7,"7,398"
New Jersey Nets,82,43,39,3976,105.8,104.3,1.5,55.2,1.43,15.3,38.3,65,50.8,15.3,46.3,51.3,93.16,49.7,"7,723"
Minnesota Timberwolves,82,45,37,3986,106.4,105.5,0.8,65.5,1.82,18.6,33.3,65.7,49.7,14.6,48.3,52.9,93.89,51.5,"7,793"
Milwaukee Bucks,82,36,46,3986,101.5,103.7,-2.2,56.5,1.19,15.7,34,66.4,50.1,18.1,47.5,52.7,91.9,48.3,"7,637"
Miami Heat,82,55,27,3951,105.7,100.5,5.2,61.7,1.43,17,33.9,66.9,50.8,16.6,49.4,53.8,89.35,53.5,"7,367"
Los Angeles Lakers,82,61,21,3966,110.4,102.3,8.1,63.9,1.6,18.1,33.9,65.6,50.3,16,51.9,55.9,94.85,55.8,"7,836"
Los Angeles Clippers,82,17,65,3956,101.8,109.6,-7.7,52.3,1.16,14.6,33,63.8,48.1,17.1,47.7,51.8,93.74,43.7,"7,723"
Indiana Pacers,82,58,24,3966,106.3,99.5,6.8,64.7,1.62,18.3,30.5,65.7,49,15.8,50.2,55,89.69,55.3,"7,410"
Houston Rockets,82,41,41,3966,105.9,106.8,-0.9,61.1,1.39,16.9,32.4,67.2,49.9,17,49.6,54.4,92.52,49,"7,649"
Golden State Warriors,82,19,63,3966,93.9,103.5,-9.6,60,1.25,15.7,35.6,66.4,50.5,17.8,42.7,46.8,93.31,42.3,"7,707"
Detroit Pistons,82,37,45,3991,103.4,101.8,1.6,55.8,1.33,15.5,33.2,66.8,50,16,47.2,52.3,89.75,50.5,"7,468"
Denver Nuggets,82,11,71,3946,97.4,110.6,-13.2,57.8,1.18,15,33.7,63.9,48.2,17.5,44,49.6,91.06,40.7,"7,496"
Dallas Mavericks,82,20,62,3981,98.9,105.2,-6.3,53.3,1.3,14.9,30.6,63.2,46.6,15.6,45.8,49.8,91.47,44.6,"7,575"
Cleveland Cavaliers,82,47,35,3966,100.3,97.5,2.8,67.2,1.33,17.8,33,67.8,50.8,18.8,47.8,52.9,91.43,52.8,"7,561"
Chicago Bulls,82,62,20,3971,106.2,98.4,7.8,63.7,1.66,18,38.1,67.6,52.7,15.8,47.3,51.6,90.3,56,"7,471"
Charlotte Hornets,82,51,31,3956,105.5,103.3,2.2,65.4,1.56,18.3,32.6,69.1,51,16.6,49.5,54.2,91.13,52.6,"7,511"
Boston Celtics,82,36,46,3946,100.8,103.5,-2.7,60.3,1.37,16.5,35.2,64.2,48.4,17.1,46.4,50.4,94.9,45.7,"7,800"
Atlanta Hawks,82,50,32,3976,106.5,102.5,4,54.3,1.29,15.3,35.6,66.9,51.8,16.5,48.1,53.3,89.1,53.2,"7,377"
