TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Washington Wizards,82,42,40,3966,107.7,105.8,1.9,51.2,1.33,14.5,32.9,67.9,49.9,14.8,48.4,53.8,93.68,50.3,"7,742"
Utah Jazz,82,41,41,3976,102.4,105.1,-2.7,64.6,1.37,16.9,35.6,70.2,52.6,17.4,46.7,51.9,89.4,49.7,"7,398"
Toronto Raptors,82,27,55,3991,107.9,111.2,-3.2,52.9,1.49,15.5,28.6,69.7,48.4,13.9,50,54.8,92.33,45.9,"7,678"
Seattle SuperSonics,82,35,47,3966,109.4,112.7,-3.3,55.1,1.4,16,34,65.9,49.5,15.7,50.4,55.1,93.04,46.7,"7,689"
San Antonio Spurs,82,63,19,3961,106.2,98.7,7.5,57.4,1.52,17,28.9,70.8,50.5,15.3,51.3,54.6,89.41,55.4,"7,382"
Sacramento Kings,82,44,38,3966,105.3,103.5,1.8,61.8,1.52,17.3,28.9,69.4,49.5,15.6,49.2,54.4,93.26,51.5,"7,701"
Portland Trail Blazers,82,21,61,3946,99.7,110.3,-10.7,53.4,1.24,15.1,30.8,65.7,48,16.5,47.4,51.1,88.88,42.4,"7,308"
Phoenix Suns,82,54,28,3991,110.2,104.7,5.4,63.5,2,19.5,25.6,69,48,13.5,53.7,56.8,96.92,54.7,"8,067"
Philadelphia 76ers,82,38,44,3981,104.7,106.5,-1.8,55.1,1.43,15.8,28.5,67.6,48.1,14.9,48.7,53.8,93.91,49.2,"7,780"
Orlando Magic,82,36,46,3981,105.3,106.6,-1.3,51.4,1.21,15,33,69.1,51.6,16.8,49.6,54.3,89.12,49.5,"7,395"
New York Knicks,82,23,59,3986,102.7,109.3,-6.6,52,1.01,14.2,34.2,69.7,51.8,19,48.1,53.4,92.03,44.4,"7,633"
New Orleans/Oklahoma City Hornets,82,38,44,3961,102.3,105.1,-2.8,53.7,1.39,15.1,29.7,70.9,49.7,14.7,46.4,51.5,90.32,48.4,"7,442"
New Jersey Nets,82,49,33,3956,102.4,100.9,1.5,67.8,1.68,18.2,27.4,73,50.1,14.9,47.8,52.8,91.17,51.3,"7,513"
Minnesota Timberwolves,82,33,49,3971,101.5,103.5,-2,59.4,1.44,16.9,29.6,67.3,49,16,48,52.4,89.58,50.3,"7,409"
Milwaukee Bucks,82,40,42,3971,104.9,105.9,-1,59.4,1.48,16.8,30.9,71.3,50.7,15.7,49.2,53.5,92.45,48.6,"7,646"
Miami Heat,82,52,30,3951,107.5,103.4,4.1,55.7,1.43,16.4,29.7,72.6,51.9,15.6,51.7,55.6,92.56,53.8,"7,622"
Memphis Grizzlies,82,49,33,3971,104.5,100.4,4.1,57.8,1.4,16.1,29.8,69,49.6,15.7,49.6,53.7,87.39,51.6,"7,232"
Los Angeles Lakers,82,45,37,3971,106.8,104.2,2.6,58,1.52,16.5,31.6,70.1,50.7,15,49.5,53.9,92.22,51.8,"7,632"
Los Angeles Clippers,82,47,35,3961,103.8,102.2,1.6,57.1,1.44,16.5,28.6,71.9,51.3,15.4,48.7,54,92.99,52.3,"7,675"
Indiana Pacers,82,41,41,3946,103.1,101,2,58.5,1.3,16,30.4,69.9,50.6,16.8,48.7,53.3,90.85,51.4,"7,470"
Houston Rockets,82,34,48,3966,100.4,102.1,-1.7,58.3,1.32,15.8,29.1,70.5,50.1,16.2,47.1,51.9,89.07,49,"7,358"
Golden State Warriors,82,34,48,3966,103.5,104.9,-1.4,57.6,1.47,15.9,29.6,68.6,48.5,14.8,47.9,52.1,94.43,47.5,"7,800"
Detroit Pistons,82,64,18,3966,109.3,101.7,7.6,66.1,2.12,18.9,31.7,68,49.7,12.8,49.7,53.5,87.98,55.7,"7,268"
Denver Nuggets,82,44,38,3986,104.4,104.1,0.3,62.4,1.58,17.6,30,68.2,49.4,15.4,48.8,53.5,94.9,51.2,"7,877"
Dallas Mavericks,82,60,22,3976,109.9,103.2,6.7,50,1.32,14.6,34.7,69,52.2,15,49.5,55,89.3,55.1,"7,397"
Cleveland Cavaliers,82,50,32,3966,106.6,104.4,2.1,53.6,1.37,15.3,31.3,71.7,51.4,15.1,49.2,53.8,90.77,51,"7,510"
Chicago Bulls,82,41,41,3981,103.3,102.7,0.7,60.1,1.47,16.9,30.3,70.3,50.3,15.8,48.7,52.7,93.59,50.1,"7,762"
Charlotte Bobcats,82,26,56,3981,101.2,105.6,-4.4,58,1.47,15.9,30.5,67.8,47.9,14.9,46.4,50.9,94.57,46.3,"7,851"
Boston Celtics,82,33,49,3976,104,105.6,-1.5,58.1,1.26,16.4,28.9,69.4,49.7,17.6,50.4,55.1,93.27,48.5,"7,722"
Atlanta Hawks,82,26,56,3976,104.8,110.1,-5.3,55.2,1.27,15.5,33.4,66.7,49.6,16.9,48.6,53.4,91.75,46.2,"7,607"
