TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Washington Wizards,49,23,26,2362,112.7,113.2,-0.5,60.1,1.8,18.2,27.1,72.6,50.5,13.9,54.2,57.8,99.57,50.9,"4,900"
Utah Jazz,52,26,26,2511,116.6,115.1,1.5,61.3,1.7,18.3,30.9,70.5,50.7,15.1,55.5,59,100.33,50.5,"5,242"
Toronto Raptors,51,23,28,2468,114.3,113.7,0.6,56.5,1.98,16.8,31.3,71.7,49.9,11.9,51.4,55.5,97.94,49.4,"5,037"
San Antonio Spurs,50,14,36,2410,110.6,120.1,-9.5,63,1.77,18.8,30.9,69.9,49.5,15.1,52.9,55.8,101.46,45.6,"5,098"
Sacramento Kings,48,27,21,2309,117.5,114.7,2.7,63,1.9,19.3,26.3,73.3,50,14,57.1,60.8,101.49,51.4,"4,885"
Portland Trail Blazers,49,23,26,2362,115.2,114.9,0.2,59.6,1.6,17.8,28.5,71.4,50.3,15.3,55.7,59.6,98.38,49.9,"4,843"
Phoenix Suns,51,26,25,2468,113.7,112.2,1.5,64.9,1.9,19.1,31.2,71,50.7,14.3,53.4,56.9,98.57,50.7,"5,064"
Philadelphia 76ers,48,32,16,2329,115.7,111.6,4.1,61.5,1.81,18.6,25.2,71.3,48.7,14.1,55.9,60.1,98.19,52,"4,761"
Orlando Magic,50,19,31,2410,111.6,114.9,-3.3,56.9,1.49,16.9,27.1,72.3,50.1,15.4,53.8,58,99.23,48,"4,977"
Oklahoma City Thunder,49,24,25,2382,113.1,112,1.1,56.5,1.78,17.2,28.5,69,48.6,13.3,53.4,57,101.95,49.8,"5,061"
New York Knicks,51,27,24,2483,115.1,113.4,1.6,54.3,1.71,16.2,32.7,70.9,51.7,13.2,52.5,56.4,97.79,50.6,"5,064"
New Orleans Pelicans,50,26,24,2430,113.4,111.4,2,61.2,1.69,18.2,30.1,73.2,51.5,15,53.9,57.8,100.26,51.3,"5,075"
Minnesota Timberwolves,52,27,25,2501,113.1,112.7,0.5,59.5,1.6,18.2,25.9,69,48.2,15.5,56.1,59.5,101.71,50.5,"5,293"
Milwaukee Bucks,49,32,17,2372,112,110.3,1.7,60.2,1.61,17.6,29.8,74.1,52.1,15.2,53.9,57,100.63,51.2,"4,973"
Miami Heat,50,28,22,2415,110.8,110.7,0.1,60.1,1.74,17.5,27.3,73.6,49.7,13.8,52.1,56.3,97.13,49.9,"4,893"
Memphis Grizzlies,49,31,18,2362,113.8,109.7,4.1,58.1,1.75,17.5,33,71.5,52.2,14.1,53,56,102.15,52,"5,026"
Los Angeles Lakers,50,23,27,2430,113.2,113.9,-0.8,57.7,1.77,17.7,25.7,72.2,49.6,13.6,54.1,58,102.28,50.4,"5,172"
LA Clippers,52,28,24,2506,112.5,112.1,0.4,57.2,1.57,17,27.9,72.9,50.8,14.8,54.6,58.1,98.16,49.6,"5,127"
Indiana Pacers,51,24,27,2453,112.7,114.8,-2,64.1,1.73,18.4,29.1,69.1,48.7,14.9,53.6,57.5,102.1,48.5,"5,222"
Houston Rockets,50,12,38,2410,109,116.7,-7.7,56.2,1.31,15.9,34.1,72.7,52.9,17,51.3,55.1,100.02,46.1,"5,027"
Golden State Warriors,49,25,24,2372,113.3,113.4,-0.1,69.1,1.77,20.1,26.7,72,49.6,16,56.4,59.5,103.15,50,"5,098"
Detroit Pistons,51,13,38,2463,111,118.3,-7.2,56.9,1.53,16.4,29.1,70.7,49.2,14.6,52.2,56.5,101.01,45.3,"5,181"
Denver Nuggets,50,34,16,2410,117.4,113.4,4,65.4,1.91,20.3,28.8,72.8,51.4,15.1,57.9,60.7,98.94,52.7,"4,964"
Dallas Mavericks,51,26,25,2483,115,114.9,0.1,56.5,1.79,16.9,23.1,71.5,47.2,12.6,55.9,59.4,96.24,49,"4,983"
Cleveland Cavaliers,51,30,21,2483,114.2,109.8,4.4,59.3,1.73,18,27.8,73.4,50.8,14.3,55,58.6,96.14,52.8,"4,973"
Chicago Bulls,49,23,26,2377,112.7,112.8,-0.1,56.7,1.78,17.8,23.4,73.3,48.9,13.4,55,58.8,100.53,50.3,"4,980"
Charlotte Hornets,50,14,36,2430,108.9,115.6,-6.7,60.2,1.83,17.6,29,71.5,49.3,13.3,51,54.4,101.48,46.8,"5,143"
Brooklyn Nets,49,30,19,2357,115.6,112.5,3.1,61.6,1.81,19.6,22.7,68.9,47.6,14.7,58.4,61.4,98.93,52.4,"4,851"
Boston Celtics,51,36,15,2483,116.6,110.9,5.7,63,1.94,18.9,25.3,74.4,50.3,13.4,55.9,59.8,99.73,53.1,"5,153"
Atlanta Hawks,50,25,25,2425,113.1,113.9,-0.7,55.2,1.86,17.3,27,70.7,48.7,12.7,53.5,57.3,101.41,49.6,"5,128"
